Timestamp,Student Name,Mobile No (Student),Mobile No (Father / Guardian),Email Address,Date of Birth,Date of Admission,Course,Receipt ID
17/07/2011 00:00:00,Krupa Deolekar 0,6660087891,9990070480,student0@example.com,12/09/1996,17/07/2011,Computer Basics,1000
16/04/2011 00:00:00,Vansh Bhide 1,9990075466,7770065556,student1@example.in,05/11/2007,16/04/2011,Computer Basics,1001
02/11/2011 00:00:00,Shaurya Nadkarni 2,6660041575,7770058318,student2@example.com,10/01/2000,02/11/2011,Advanced Excel,1002
04/01/2011 00:00:00,Pooja Godbole 3,7770092592,7770046878,student3@example.in,09/02/2009,04/01/2011,Advanced Excel,1003
08/02/2011 00:00:00,Riddhi Chitnis 4,9991144734,9991191038,student4@example.com,30/07/2003,08/02/2011,Advanced Excel,1004
13/09/2011 00:00:00,Vihaan Tembe 5,6660043889,7770019434,student5@example.com,03/07/1989,13/09/2011,Advanced Excel,1005
19/06/2011 00:00:00,Dhruv Inamdar 6,9991184066,7770038338,student6@example.com,13/02/1991,19/06/2011,Tally,1006
04/01/2011 00:00:00,Pranav Oak 7,9991193528,9990047978,student7@example.com,26/05/1991,04/01/2011,Computer Accounting,1007
23/10/2011 00:00:00,Shaurya Ganvir 8,8880092409,7770034576,student8@example.in,22/02/1992,23/10/2011,Computer Accounting,1008
25/04/2011 00:00:00,Jainam Lele 9,9990044360,7770024132,student9@example.com,09/12/1993,25/04/2011,Computer Accounting,1009
15/11/2011 00:00:00,Kavya Tembe 10,9991156812,8880064181,student10@example.com,30/09/2004,15/11/2011,Computer Accounting,1010
18/05/2011 00:00:00,Raghav Inamdar 11,9991196406,9991141822,student11@example.com,24/08/1995,18/05/2011,Advanced Excel,1011
04/06/2011 00:00:00,Riddhi Ubhaykar 12,8880044105,9991148064,student12@example.com,30/07/2012,04/06/2011,Advanced Excel,1012
13/03/2011 00:00:00,Devansh Joglekar 13,6660030217,9990078576,student13@example.com,06/10/1989,13/03/2011,Advanced Excel,1013
