Timestamp,Name for Google Contacts,Which Course do you want to Learn ?,Student Name,Mobile No (Student),Mobile No (Father / Guardian),Student Address,Education Level,From Where Do You Know About Us ?,Presently What Are you Doing ?,Preferred Branch ,Preferred Days,Preferred Batch Time,Faculty,Receipt ID,Email Address,Date of Birth,Date of Admission,Mobile No (Mother / Guardian),Any Other Notes,Education Details,Student Photo,Admission Form Photo,Residential Area,Pincode,Coupons Given?
05/04/2024 11:34:30,Advait Vartak-Citylight-Web Designing,Web Designing,Advait Vartak (cancelled),6660007615,9991118986,,MBA,Hoarding ,Student,Citylight,"Tuesday, Thursday, Saturday",12:00 To 01:00,Trusha,377,"advaitvartak3638@example ,com",20/12/2017,05/04/2024,,,,,,Adajan,395009,
06/04/2024 14:20:25,Sanya Bhide-Citylight-Data Analysis ,Data Analysis ,Sanya Bhide,7770006238,,"G-186, Mocklight Apartments, Adajan",MBA,Old students,Business / Job,Citylight,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",05:00 To 06:00,Trusha,136,"sanyabhide6213@example ,com",26/02/1979,05/04/2024,,,,https://drive.google.com/open?id=1XHonW-gqLB93OG2NDBSXEWWOOFS4jVKI,,Bhatar,0194520,
05/04/2024 14:22:25,Ananya Nadkarni-Citylight-Computer Accounting ,Computer Accounting ,Ananya Nadkarni ,+155501086,+155501041,"B-857, Synthetic Square, Althan",Bcom,Friends,NA,Citylight,All Days,11:00 To 12:00,Trusha Mam,140 & 141,ananyanadkarni913@example.com,13/07/1982,05/04/2024,6660049076,Fastrack,,,,Vesu,395006,
12/04/2024 11:20:05,Avni Godbole-Citylight-Web Designing,Web Designing,Avni Godbole,8882230421,6660004769,"G-129, Stub Sankul, New citylight",11,Walk in,Job,Citylight,All Days,06:00 To 07:00,Mansi mam,141,avnigodbole677@example.com,,10/04/2024,,,,,https://drive.google.com/file/d/1GeedcKKHpqlE1roxnOq0Db5rnH3u-SR7/view?usp=drivesdk,Althan,395001,
12/04/2024 18:39:13,Darsh Lele-Citylight-Basic Graphic Designing (Online),Basic Graphic Designing (Online),Darsh Lele,8880021881,6660056905,"F-324, Sample Heights, Varachha",12,Old student ,Business / Job,Citylight,"Tuesday, Thursday, Saturday",11:00 To 12:00,Siddharth Sir,143,,,11/04/2024,,,,,https://drive.google.com/file/d/1hMTo4BKpcVDS8bzO8ePEhzVWzVQqAM2l/view?usp=drivesdk,Pal,395001,
15/04/2024 15:40:20,Namra Yardi-Pal-12th Computer Science (6 months),12th Computer Science (6 months),Namra Yardi,6660023134,9991119595,"D-907, Specimen Skyline, Umra",9,Family,Business / Job,Pal,All Days,03:00 To 04:00,Mansi Mam,378,,04/01/1994,15/04/2024,6660007242,,,,,Adajan,395006,
09/05/2024 10:46:59,Tanvi Velankar-Citylight-Computer Accounting,Computer Accounting,Tanvi Velankar,88-82261029,8880025508,"A-1041, Testvan Residency, Bhatar",Graduate,Old student ,Housewife ,Citylight,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",10:00 To 11:00,Trusha mam,0145,NA,18/05/2013,07/05/2024,,,,https://drive.google.com/file/d/1IJx1cx03jhMuj8aThx00OB0BvikXkgvH/view?usp=drivesdk,,Pandesara,394210,
14/05/2024 17:27:33,Siddhi Khaparde-Vesu-Digital Marketing & SEO (M-1),Digital Marketing & SEO (M-1),Siddhi Khaparde,9991109383,,"C-218, Sample Heights, Palanpur",9,Family,Student ,Vesu,"Monday, Wednesday, Friday",06:00 To 07:00,subin sir,199,"siddhikhaparde9464@example ,com",23/04/2017,14/05/2024,7770027182,,,https://drive.google.com/file/d/1wZqW4hb0OeQoGnKOMMcTGdofc__Zr-MC/view?usp=drive_link,https://drive.google.com/file/d/1zyl7OU_KKuYRmJ6ssxas099ymHzggOu7/view?usp=drivesdk,Pandesara,394510,
15/05/2024 17:31:41,Rudra Ahluwalia-Citylight-Advance Excel 1&2,Advance Excel 1&2,Rudra Ahluwalia,8880085013,,"C-1151, Testvan Residency, Palanpur",MBA,Old student ,Housewife,Citylight,All Days,12:00 To 01:00,Siddharth sir,147,rudraahluwalia8990@example.com,24/05/1960,15/05/2024,,,,,https://drive.google.com/file/d/1MkbH8scj0Y56R8EtyUYm-LJkmUWxZd92/view?usp=drivesdk,Piplod,395007,
18/05/2024 17:04:03,Krupa Velankar-NA-C & C++,C & C++,krupa velankar,999008699,,,10,Friend ,Housewife,NA,"Monday, Wednesday, Friday",04:00 To 05:00,Yash k,149,,,18/05/2024,,,,,https://drive.google.com/file/d/1oFuoLFMvOtF8_3HowM3vR0euJJpgqSij/view?usp=drivesdk,Piplod,39500,
20/05/2024 14:31:16,Keya Kelkar-Vesu-C Programming,C Programming,Keya Kelkar,7770072744,"8880047855, 9990048850","G-389, Mocklight Apartments, Vesu",NA,old student,Student,Vesu,All Days,"12:00 To 01:00, 12:00 To 01:00",vansh sir,150,"keyakelkar1538@example ,com",01/03/2007,20/05/2024,8880072410,,,,https://drive.google.com/open?id=1wGXXKf22uodhgvC-cnJOcPmjwLiWDV_K,Pal,394210,
30/05/2024 20:28:21,Anish Bhide-Vesu-Computer Accounting,Computer Accounting,Anish Bhide,8880010942,6660067103,"B-958, Stub Sankul, Adajan",12th completed ,Old student ,Student,Vesu,"Tuesday, Thursday, Saturday",04:00 To 05:00,Yash Kanodia Sir,203,anishbhide7942@example.com,11/10/1993,29/05/2024,9991198910,,,,https://drive.google.com/file/d/1y_BEqUk6C90sWlZs4TKsfg_qa_ZH9Ogi/view?usp=drive_link,Bhatar,39500,
06/06/2024 9:40:36,Riddhi Chandorkar-Pal-Advanced Computer Accounting module 2,Advanced Computer Accounting module 2,riddhi chandorkar,9990096049,,"G-911, Sample Heights, Adajan",NA,Hoarding ,Teacher,Pal,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",05:00 To 06:00,Mansi Mam,380,riddhichandorkar6067@example com,Given,06/06/2024,"7770012626, 7770064821",,,,https://drive.google.com/file/d/1B-Yeaw_0ifvkihfrWuEV2HW6eTvjvQzs/view?usp=drive_link,Althan,305007,
09/06/2024 18:35:20,Rachit Hardikar-Citylight-C Programming (M-1),C Programming (M-1),Rachit Hardikar ,8882206446,,,12th,Old students,Other ,Citylight,All Days,02:00 To 03:00,Subin sir,152,,-,09/06/2024,,,,https://drive.google.com/file/d/1RqDCtgRdP0rzHvsI0HsRlflHM9LAR0E3/view?usp=drivesdk,,Rander,395007,
12/06/2024 19:07:33,Radhika Bapat-Citylight-Web Designing (M-1),Web Designing (M-1),Radhika Bapat,6660077908,9991154560,"C-456, Specimen Skyline, Varachha",Graduation ,old student,Job,Citylight,"Tuesday, Thursday, Saturday",11:00 To 12:00,Yash Sir,154,radhikabapat6209@example.com,01/02/1992,12/06/2024,+155501035,,,,https://drive.google.com/open?id=1TMz3qBe9NF8OR1aDkU9NRYtz3Qv2drqk,Rander,395006,
