Timestamp,Email Address,Which Course do you want to Learn ?,Name,Mobile No (Student),Address,Education,"Presently What Are you Doing ? (Student, Business, Job, Housewife, etc...)","From Where Do You Know About Us ? (Google, Social Media, Friends, Old students, etc...)",Preferred Batch Time,Mobile No (Parent / guardian 1),Preferred Branch ,Preferred Days,Your Photograph,Faculty,Email Address,Mobile No (Parent / guardian 2),Any Other Notes,Counsellor Name ,,Mode of Enquiry,Date of Enquiry,Date of Birth,Receipt ID,Process Status
07/04/2024 18:06:00,,"Social Media Marketing (DM-2), Core Python Programming",Ananya Chandorkar,7770096943,"F-468, Proxy Paradise, New citylight",11th ,Housewife ,Family,,8880079522,Vesu,,,,,,,Trusha mam,,,,,,
14/04/2024 12:32:28,,"Adobe Photoshop, Video Editing",Priya Kelkar,6660097814,"D-619, Proxy Paradise, Rander",9th std,Business,Old students,,9990050028,Citylight,,,,priyakelkar545@example.com,,,Vansh Sir,,,,,,
03/05/2024 17:42:19,,"Adobe Photoshop, Digital Marketing",Niyati Mahabal,9991163268,"D-687, Proxy Paradise, Parle point",Na,Housewife ,,,,Pal,,,,niyatimahabal704@example.com,,,Yash k,,,,,,
03/05/2024 10:32:03,,Advanced Computer Accounting ,Riddhi Chandorkar,9990096049,"G-911, Sample Heights, Adajan",12th completed ,Business / Job,Indiamart,,,Pal,,,,riddhichandorkar6067@example com,7770012626,total fees: 27000/-,Subin Sir,,,,,,
04/05/2024 16:29:30,,"Advanced Python Programming (5 Modules), Social Media Marketing (DM-2)",Samarth Gokhale ,+918880026097,"B-1182, Proxy Paradise, Magdalla",9th std,NA,Hoarding ,,9991169660,Vesu,,,,,,,subin sir,,,,,,
05/05/2024 19:15:19,,Python Programming,niyati barhate ,9990062501,,Diploma,Housewife,NA,,8880047416,Vesu,,,,niyatibarhate2276@example.com,9990058813,,Mansi mam,,,,,,
05/05/2024 20:34:06,,C Programming,Naisha Kelkar,7770074964,"G-1072, Testvan Residency, Umra",12,Business / Job,Banner,,,Pal,,,,naishakelkar6178@example.com,,,Trusha,,,,,,
06/05/2024 14:25:32,,Advanced Certificate in Data Analytics & Data Science,Sanya Bhide,7770006238,"G-186, Mocklight Apartments, Adajan",12th,Student ,Old student ,,,Vesu,,,,"sanyabhide6213@example ,com",,,Yash Kanodia Sir,,,,,,
09/05/2024 20:30:51,,Computer Basics,Rudra Ahluwalia,8880085013,"C-1151, Testvan Residency, Palanpur",12th,Housewife ,Internet ,,,Vesu,,,,rudraahluwalia8990@example.com,,,subin sir,,,,,,
16/05/2024 18:06:09,,DIGITAL MARKETING,Charvi Dandekar,9991125191,,BBA,Business / Job,Indiamart,,9990000404,Vesu,,,,,6660089890,,Vansh sir,,,,,,
