Timestamp,Date of Enquiry,Column 2,Which Course do you want to Learn ?,Mobile No (Student),Mobile No (Parent / guardian 1),Mobile No (Parent / guardian 2),Email Address,Address,Education,"Presently What Are you Doing ? (Student, Business, Job, Housewife, etc...)","From Where Do You Know About Us ? (Google, Social Media, Friends, Old students, etc...)",Preferred Branch ,Counsellor Name ,Mode of Enquiry,Any Other Notes,enq discuusin,Column 1,
02/04/2026 12:00:54,02/04/2026,ENQ - 8701,12th computer science,7770096943,,,,,M.B.A,Student,,Vesu,Subin sir,On Call,28/7/26,"they joined somewhere else, our fees is high",,
01/04/2026 16:38:07,01/04/2026,ENQ - 8702,"Social Media Content & Ad Architect, Professional Python Developer",+918882261762,,,,,,STUDENT,,Vesu,Mansi Mam,On Call,,,,
02/04/2026 15:41:15,02/04/0026,Enq 8703,"C Programming (m-1), Basic Graphic Designing",8882225261,,,,,,STUDENT,,Citylight,Yash Kanodia Sir,On Call,,,,
02/04/2026 15:11:15,02/04/2026,Enq 8704,Adv. Cert. in Python Development & Generative AI,,,,,,12th,,,Vesu,Siddharth sir,On Call,,,,
08/04/2026 17:56:15,08/04/2026,ENQ - 8705,SOCIAL MEDIA CONTENT & AD ARCHITECT,8880088547,,,,,,,,Vesu,Trusha mam,On Branch,NO DATA ON THIS NUMBER,not intrested,,
08/04/2026 9:01:13,08/04/2026,ENQ-8706,Tally Prime with GST (m-1),,,,,,12th,,,Vesu,Mansi Mam,On Call,5/8/26,timepass,,
08/04/2026 12:53:02,08/04/2026,ENQ - 8707,"Business Analytics, Agentic AI & Automation Specialist",8882281388,,,krupaganvir1682@example.com,,,,,Citylight,Yash Kanodia Sir,On Branch,,,,
09/04/2026 12:43:22,09/04/2026,ENQ-8708,professional office & generative ai essentials,9991154464,,,,PANDESARA,M.B.A,,,Vesu,Siddharth sir,On Call,16/5/26,call not picked up,,
10/04/2026 18:44:20,10/04/2026,Enq 8709,ECOMMERCE DEVELOPER & SEO SPECIALIST PROGRAM,7770072744,,,,,,,,Citylight,Siddharth Sir,On Call,,,,
10/04/2026 15:59:22,10/04/2026,ENQ-8710,ECOMMERCE DEVELOPER & SEO SPECIALIST PROGRAM,8882203639,,,,,M.B.A,,,Citylight,subin sir,On Branch,11/5/26,,,
