Timestamp,student-id,Student Name,Mobile No (Student),Secondary Contact,Email Address,Date of Birth,Date of Joining,Which Course,course category,Branch,Faculty,Mode,From Where Do You Know About Us ?,1508,,
,1,Ananya Chandorkar,7770096943,8880079522,,16/02/2015,02/04/2022,Data Analysis,Data Analysis,Citylight,Mansi mam,Online,Relatives ,,,
,2,Pooja Inamdar,7770076925,7770018090,,12/06/1993,04/04/2022,Advanced Certificate in Data Analytics & Data Science,advanced certificate course,,Vansh sir,online,Reference ,,,
,3,Krupa Chaphekar,+155501003,9991154645,krupachaphekar2855@example.com,,07/04/2022,Business Analytics,Data Analysis,Vesu,SUBIN SIR,offline,Social media,,,
,4,Subin,7770047704,9991139116,vanshganvir981@example com,26/09/1979,14/04/2022,Advanced Python Programming (5 Modules),Programming,Pal,Trusha Mam,Offline,Hoarding ,,,
,5,Vihaan Wagle,6660005778,88822143644,vihaanwagle6142@example.com,,15/04/2022,Full Stack Development,Web Designing & Development,Citylight,Mansi mam,,Old student ,,,
,6,Pooja Tembe,8880064824,6660055259,poojatembe6868@example.com,12/05/1987,22/04/2022,Python Programming,Programming,Vesu,Subin Sir,online,Hoarding ,,,
,7,Vihaan Wagle,6660005778,+155501011,vihaanwagle6142@example.com,,25/04/2022,Full Stack Development,Web Designing & Development,Citylight,Vansh Sir,Online,Old Enquiry,,,
,8,Priya Kelkar ,6660097814,9990050028---8882205445,priyakelkar545@example.com,11/12/1990,28/04/2022,Canva module 2,Graphic Designing,Vesu,Yash sir,,old student,,,
,9,Ananya Chandorkar,7770096943,8880079522,,,03/05/2022,Advanced Python Programming (5 Modules) (Module 2),Programming,Citylight,Subin sir,online,Relatives ,,,
,10,NIDHI OAK,9991158876,,nidhioak5966@example.com,13/10/1988,10/05/2022,Business Analytics,Data Analysis,Pal,Vansh sir,online,Reference ,,,
,11,Vansh Mhatre,9991154120,6660071452,vanshmhatre4396@example.com,,11/05/2022,c & c++,Programming,Vesu,Trusha Mam,,Social media,,,
,12,GARV DANDEKAR,888226176,,garvdandekar2806@example.com,18/06/1978,12/05/2022,Advanced Graphic Designing (6 mths),Graphic Designing,Citylight,Yash Sir,,Family,,,
,13,Priya Kelkar,6660097814,9990050028,priyakelkar545@example.com,11/12/1990,12/05/2022,Graphic Designing,Graphic Designing,Citylight,Trusha mam,Offline,Reference ,,,
,14,Ananya Chandorkar,7770096943,08880079522,,16/02/2015,13/05/2022,Basic Computer Accounting module 2,Accounting,Pal,Yash k,online,NA,,,
,15,Subin,7770047704,9991139116,vanshganvir981@example com,,15/05/2022,Advanced Computer Accounting,Accounting,Citylight,Vansh sir,,Google,,,
,16,Subin,7770047704,9991139116,vanshganvir981@example com,26/09/1979,19/05/2022,Business Analytics,Data Analysis,Pal,Mansi Mam,,old student,,,
,17,Dhruv Sathaye,8880077844,,,,19/05/2022,12th Computer Science,school course,Citylight,vansh sir,Offline,Hoarding ,,,
,18,Vihaan Sahasrabuddhe,8882256692,,vihaansahasrabuddhe9254@example.con,,20/05/2022,Basic Computer Accounting,Accounting,Citylight,Trusha Mam,Online,Family,,,
,19,Divya Kalelkar,77700106014,7770007645,divyakalelkar2761@example.com,,20/05/2022,Scratch Programming,Programming,Citylight,Trusha,offline,Hoarding ,,,
,20,Krupa Chaphekar,77-70088166,9991154645,krupachaphekar2855@example.com,09/10/1998,23/05/2022,Diploma in Web Development (m-1),Web Designing & Development,Vesu,Yash Kanodia Sir,Online,google,,,
,21,Ananya Inamdar,9991124120,,ananyainamdar1797@example.com,03/10/2011,30/05/2022,C & C++,Programming,Citylight,Trusha mam,offline,Banner,,,
,22,riddhi chandorkar,9990096049,,riddhichandorkar6067@example com,,30/05/2022,Adobe Photoshop,Graphic Designing,Vesu,Subin sir,offline,Banner,,,
,23,Krupa Chaphekar (not coming) ,7770088166,9991154645,krupachaphekar2855@example.com,09/10/1998,06/06/2022,Advanced Certificate in Data Analytics & Data Science module 2,advanced certificate course,Pal,Mansi Mam,,Social media,,,
,24,Vansh,6660023993,8880074997,,07/01/1989,06/06/2022,Advanced Python Programming (5 Modules),Programming,Pal,Yash Sir,,google,,,
,25,Nidhi Oak,9991158876,,nidhioak5966@example.com,13/10/1988,07/06/2022,Canva,Graphic Designing,Pal,Vansh sir,Online,Old Enquiry,,,
,26,Isha Vartak,9990019658,,ishavartak1247@example.com,09/04/1998,09/06/2022,Advanced Certificate in Data Analytics & Data Science module 2,advanced certificate course,Citylight,Siddharth sir,Online,Hoarding ,,,
,27,Krupa Ganvir ,7770091253,9991158851,NA,,12/06/2022,Social Media Marketing (DM-2),Digital Marketing,Citylight,Yash k,Online,old student,,,
,28,Zeel Phadke,9990000092,,zeelphadke8607@example.com,06/12/1998,13/06/2022,Advance Excel,Advanced Excel,Citylight,Yash k,,Family,,,
,29,Samarth Gokhale,08880026097,9991169660,,04/05/1986,14/06/2022,Advanced Excel (M-1 & M-2),Advanced Excel,Vesu,Vansh sir,Online,Social media,,,
,30,Priya Ganvir ,7770048766,,itâ€™s_priyaganvir3862@example.in,22/07/2015,15/06/2022,Advanced Certificate in Data Analytics & Data Science,advanced certificate course,vesu,Trusha Mam,Online,NA,,,
,31,Shreya Kelkar,9991127927,,,03/05/2000,15/06/2022,COMBO COURSE (COMPUTER BASICS & ADVANCED EXCEL WITH POWER BI),Combo Course,Vesu,Yash sir,Online,Google,,,
,32,Jainam Joglekar,9990071793,9990080575,,26/06/1993,15/06/2022,Advanced Graphic Designing (6 mths),Graphic Designing,Pal,SUBIN SIR,offline,,,,
,33,Darsh Lele,+155501067,+8166600569057,,11/08/2004,16/06/2022,Advanced Certificate in Python Development & Generative AI,advanced certificate course,Pal,Yash k,offline,Old Enquiry,,,
,34,Vansh Mhatre,9991154120,6660071452,vanshmhatre4396@example.com,12/11/2001,22/06/2022,Kids Course module 2,Basic,Citylight,Trusha,Offline,,,,
,35,Jainam Joglekar,9990071793,9990080575,,hand written,23/06/2022,Diploma in Front End Development,Front-end Development,Pal,Yash k,online,Walkin,,,
,36,Niyati Barhate (Cancelled),9990062501,+8188800474165,niyatibarhate2276@example.com,06/11/1998,17/07/2022,Basic Graphic Designing,Graphic Designing,Pal,Yash sir,offline,Walkin,,,
,37,dhruv yardi,7770010779,,,23/02/2006,17/07/2022,Business Analytics,Data Analysis,Citylight,Subin sir,online,Social media,,,
