Timestamp,Mobile No (Student),Student Name,Which Course,Faculty,Batch Timing,
,7770076925,Pooja Inamdar ,Advanced Certificate in Data Analytics & Data Science,vansh sir,01:00 To 02:00,
,7770047704,Subin,Advanced Python Programming (5 Modules),Vansh sir,01:00 To 02:00,
,"8880064824, 7770091779",Pooja Tembe,Python Programming,Siddharth Sir,06:00 To 07:00,
,6660005778,Vihaan Wagle,Full Stack Development,Vansh Sir,03:00 To 04:00,
,6660097814,Priya Kelkar,Canva module 2,Mansi Mam,03:00 To 04:00,
,07770096943,Ananya Chandorkar,Advanced Python Programming (5 Modules) (Module 2),Mansi Mam,06:00 To 07:00,
,"9991158876, 7770021095",Nidhi Oak,Business Analytics,Siddharth Sir,01:00 To 02:00,
,9991154120,Mhatre Vansh ,c & c++,Siddharth Sir,05:00 To 06:00,
,8882261762,Garv Dandekar,Advanced Graphic Designing (6 mths),Mansi Mam,03:00 To 04:00,
,6660097814,Priya Kelkar,Graphic Designing,Siddharth sir,05:00 To 06:00,
,7770096943,Ananya Chandorkar,Basic Computer Accounting module 2,SUBIN SIR,02:00 To 03:00,
,7770047704,Subin,Advanced Computer Accounting,Trusha,03:00 To 04:00,
,8882256692,Vihaan Sahasrabuddhe,Basic Computer Accounting,Vansh Sir,11:00 To 12:00,
,7770088166,Krupa Chaphekar,Diploma in Web Development (m-1),Trusha mam,10:00 To 11:00,
,9991124120,Ananya Inamdar ,C & C++,Vansh Sir,03:00 To 04:00,
,6660023993,Vansh,Advanced Python Programming (5 Modules),Yash sir,07:00 To 08:00,
,9991158876,Nidhi Oak,Canva,Mansi Mam,05:00 To 06:00,
,9990019658,Isha Vartak,Advanced Certificate in Data Analytics & Data Science module 2,Siddharth sir,05:00 To 06:00,
,9990000092,Zeel Phadke,Advance Excel,Mansi mam,02:00 To 03:00,
,8880026097,Samarth Gokhale,Advanced Excel (M-1 & M-2),subin sir,05:00 To 06:00,
,7770048766,Priya Ganvir,Advanced Certificate in Data Analytics & Data Science,Trusha mam,11:00 To 12:00,
,9991127927,Shreya Kelkar,COMBO COURSE (COMPUTER BASICS & ADVANCED EXCEL WITH POWER BI),Vansh Sir,03:00 To 04:00,
