Timestamp,Mobile No (Student),Student Name,Which Course,Faculty,Batch Timing,Course Duration (IN DAYS),
10/02/2026 19:33:48,999009191,Aarav Ranadive ,Social Media Marketing (DM-2) (with zero module),Subin sir,06:00 To 07:00,120,
01/04/2026 11:26:12,777003495,Naisha Kelkar,Adv. Cert. in Data Analytics & Data Science,Trusha,02:00 To 03:00,270,
05/04/2026 17:20:39,7770061689,Riddhi Inamdar,Ecommerce Developer & SEO Specialist Program (Online),Siddharth Sir,12:00 To 01:00,120,
,,zzzzz (Don't Delete),,,,,
20/04/2026 15:50:01,8882209985,Bhavya Paranjape,Social Media Content & Ad Architect,subin sir,10:00 To 11:00,120,
24/04/2026 9:08:49,999111216,Priya Hardikar,Agentic AI & Automation Specialist,Trusha mam,02:00 To 03:00,270,
01/05/2026 19:13:16,8882278874,Yashvi Lele,Ecommerce Developer & SEO Specialist Program,Vansh sir,05:00 To 06:00,120,
02/05/2026 20:44:46,77700904508,Siddhi Ubhaykar,Advanced Graphic Designing (6 months),subin sir,05:00 To 06:00,120,
08/05/2026 18:54:33,7770030231,Tirth Tembe ,Advanced Data Analytics,Siddharth Sir,02:00 To 03:00,180,
20/05/2026 15:56:16,7770030231,Tirth Tembe,Tally Prime with GST,Trusha,11:00 To 12:00,90,
22/05/2026 15:18:30,6660007654,Jiya Sahasrabuddhe,Advanced Certificate in Data Analytics & Data Science,SUBIN SIR,02:00 To 03:00,270,
25/05/2026 16:50:19,7770005129,Tanish Lele,ECOMMERCE DEVELOPER & SEO SPECIALIST PROGRAM,Trusha mam,10:00 To 11:00,120,
09/06/2026 13:10:50,8882225261,Pooja Lele,Basic Graphic Designing,vansh sir,12:00 To 01:00,120,
13/06/2026 12:41:05,9991174417,Kavya Chandorkar,AI & DATA SCIENCE PROFESSIONAL,Yash k,05:00 To 06:00,270,
18/06/2026 12:08:33,9990050279,Niyati Marathe,Canva,SUBIN SIR,06:00 To 07:00,120,
23/06/2026 15:39:10,8882227279,Hetvi Gokhale,Social Media Content & Ad Architect,subin sir,02:00 To 03:00,120,
08/07/2026 18:48:19,8882289641,Zeel Vartak,Advanced Certificate in Data Analytics & Data Science,Vansh Sir,10:00 To 11:00,270,
16/07/2026 10:57:58,99911592617,Rudra Nene,ADVANCED EXCEL,Trusha,12:00 To 01:00,60,
