Timestamp,Mobile No (Student),Student Name,Which Course,Faculty,Batch Timing,Status & reason,
,7770088166,Krupa Chaphekar ,Business Analytics,Trusha mam,01:00 To 02:00,shifted to another city,
,6660005778,vihaan wagle,Full Stack Development,Vansh Sir,11:00 To 12:00,family function,
,7770047704,Subin,Business Analytics,Mansi Mam,10:00 To 11:00,shifted to another city,
,8880077844,Dhruv Sathaye,12th Computer Science,Mansi mam,12:00 To 01:00,will resume after diwali,
,7770010601,Divya Kalelkar ,Scratch Programming,Yash sir,10:00 To 11:00,"medical, will resume later",
,9990096049,riddhi chandorkar,Adobe Photoshop,Subin sir,01:00 To 02:00,"medical, will resume later",
,+8177700912534,krupa ganvir,Social Media Marketing (DM-2),Mansi Mam,02:00 To 03:00,"medical, will resume later",
,7770010779,Dhruv Yardi,Business Analytics,Yash sir,01:00 To 02:00,gone to out of station for one month,
,8882256692,Vihaan Sahasrabuddhe,Core Java Programming,subin sir,07:00 To 08:00,"medical, will resume later",
,6660078329,Keya Talpade,Scratch Programming ,Yash k,05:00 To 06:00,"medical, will resume later",
,8880069965,Ananya Nadkarni,Diploma in Front End Development,Mansi mam,12:00 To 01:00,exam going on,
,9991109383,Siddhi Khaparde,Power BI,Siddharth Sir,06:00 To 07:00,"word completed, powerpoint started",
,8880078664,dhruv tembe,Business Analytics,vansh sir,06:00 To 07:00,"medical, will resume later",
,9990076248,Manan Inamdar,Advance Excel,subin sir,02:00 To 03:00,not picking calls,
,6660047369,Jainam Bhide,Computer Basics,vansh sir,06:00 To 07:00,"word completed, powerpoint started",
,+8188822099856,Bhavya Paranjape,Advanced Graphic Designing (6 mths) (6 months),Yash Kanodia Sir,10:00 To 11:00,not picking calls,
,6660007654,Jiya Sahasrabuddhe,Basic Graphic Designing (m-1),Mansi Mam,02:00 To 03:00,shifted to another city,
,9991120923,Arnav Bapat,Power BI (module 2 & 3),SUBIN SIR,01:00 To 02:00,"word completed, powerpoint started",
,9990062501,Niyati Barhate,Graphic Designing,vansh sir,02:00 To 03:00,exam going on,
,7770083744,Charvi Chandorkar,Full Stack Development,Yash Sir,12:00 To 01:00,,
,8882290782,Sachi Jamdar,Scratch Programming,Trusha,11:00 To 12:00,gone to out of station for one month,
,8882214637,Mihir Nadkarni ,Advanced Graphic Designing (6 mths),Yash k,05:00 To 06:00,shifted to another city,
,8880010942,Anish Bhide,Diploma in Web Development,Siddharth sir,05:00 To 06:00,shifted to another city,
,8882264798,Shaurya Kelkar,11th IP,Subin sir,11:00 To 12:00,"medical, will resume later",
,6660081069,Isha Khaparde,Data Analysis,Mansi Mam,07:00 To 08:00,,
,7770061170,Sachi Paranjape,Scratch Programming,SUBIN SIR,02:00 To 03:00,family function,
,7770076925,Pooja Inamdar ,Power BI,SUBIN SIR,10:00 To 11:00,job timing clash,
,6660005778,Vihaan Wagle,COMPUTER BASICS,vansh sir,10:00 To 11:00,job timing clash,
,,Lakshya Gokhale,Computer Basics & Scratch Programming,Yash k,03:00 To 04:00,not picking calls,
,9991124120,Ananya Inamdar,Advanced Graphic Designing (6 mths),Yash k,02:00 To 03:00,,
,6660023993,Vansh,Advanced Certificate in Data Analytics & Data Science,Trusha,12:00 To 01:00,family function,
,7770008894,Vansh Oak,Combo Course (Computer Basics & Advanced Excel with Power BI) (Online),subin sir,12:00 To 01:00,family function,
,8882231745,Niyati Dhond,12th Computer Science,Mansi Mam,06:00 To 07:00,,
,8880088547,krish kelkar,Core Python Programming,Subin sir,11:00 To 12:00,family function,
06/04/2024 14:20:25,7770006238---8882256332,Bhide Sanya,Data Analysis ,Trusha,10:00 To 11:00,family function,
14/05/2024 17:27:33,9991109383,Siddhi Khaparde,Digital Marketing & SEO (M-1),Vansh Sir,01:00 To 02:00,job timing clash,
15/05/2024 17:31:41,8880085013,Rudra Ahluwalia,Advance Excel 1&2,Vansh sir,07:00 To 08:00,"word completed, powerpoint started",
18/05/2024 17:04:03,9990086996,Krupa Velankar,C & C++,Siddharth sir,03:00 To 04:00,exam going on,
06/06/2024 9:40:36,9990096049,Riddhi Chandorkar,Advanced Computer Accounting module 2,Yash sir,11:00 To 12:00,"word completed, powerpoint started",
09/06/2024 18:35:20,8882206446,rachit hardikar,C Programming (M-1),Subin Sir,02:00 To 03:00,will resume after diwali,
18/06/2024 14:08:14,+155501035,Shreya Kelkar,Basic Computer Accounting module 2,Mansi Mam,01:00 To 02:00,job timing clash,
19/06/2024 11:14:04,9991148965,Dhruv Tembe ,Diploma in Front End Development,Trusha mam,06:00 To 07:00,"medical, will resume later",
28/06/2024 19:46:10,8882204991,Tirth Ganvir,Social Media Marketing (DM-2),Vansh sir,05:00 To 06:00,,
09/07/2024 18:36:54,7770091034,Vedant Tembe,12th Computer Science,Mansi mam,10:00 To 11:00,gone to out of station for one month,
08/07/2024 10:23:33,888007230,Mihir Bapat ,Social Media Marketing (DM-2),Mansi Mam,07:00 To 08:00,,
10/07/2024 12:04:58,9991154464,Jiya Dhond ,Video Editing,Siddharth Sir,12:00 To 01:00,,
04/08/2024 10:33:04,8880042374,Namra Sahasrabuddhe,Full Stack Development,subin sir,12:00 To 01:00,,
08/08/2024 13:29:53,9990076248,Manan Inamdar,Web Designing,Siddharth sir,11:00 To 12:00,job timing clash,
09/08/2024 16:01:48,6660097814,Priya Kelkar,diploma in front end development,Mansi Mam,12:00 To 01:00,,
24/10/2024 20:09:19,9990096049,Riddhi Chandorkar ,12th Computer Science,Mansi Mam,11:00 To 12:00,exam going on,
27/10/2024 13:40:32,,Parth Lele,Power BI,vansh sir,10:00 To 11:00,will resume after diwali,
27/10/2024 11:10:21,,Advait Paranjape ,Advanced Certificate in Data Analytics & Data Science,Trusha,10:00 To 11:00,,
28/10/2024 14:26:56,06660007654,Jiya Sahasrabuddhe,C & C++,subin sir,05:00 To 06:00,,
12/11/2024 19:10:59,9991182813,Aarav Jamdar,UI & UX development ,Siddharth Sir,04:00 To 05:00,family function,
13/11/2024 10:15:49,8880025902,Tanish Nene,python programming,Yash k,11:00 To 12:00,family function,
04/12/2024 20:31:56,8882238616,Priya Ranadive ,Data Analysis,Mansi mam,05:00 To 06:00,exam going on,
06/12/2024 19:56:56,07770088166,Krupa Chaphekar ,Adobe Photoshop,Trusha Mam,12:00 To 01:00,,
10/01/2025 9:27:04,9990014805,vedant wagle,10TH STD SCHOOL COURSE,Mansi mam,01:00 To 02:00,not picking calls,
20/01/2025 15:38:42,7770083744,Charvi Chandorkar,Basic Computer Accounting,Siddharth Sir,07:00 To 08:00,shifted to another city,
29/05/2025 10:46:12,9990019103,Shaurya Ubhaykar,UI & UX development,Trusha mam,04:00 To 05:00,will resume after diwali,
04/06/2025 20:12:47,8882261762,Garv Dandekar,Advanced Graphic Designing (6 mths),Yash Sir,05:00 To 06:00,job timing clash,
09/07/2025 9:29:58,6660022025,Rachit Hardikar,Video Editing ,Subin Sir,06:00 To 07:00,family function,
20/07/2025 20:51:29,8882225261,Pooja Lele,Web Designing,Trusha Mam,04:00 To 05:00,"word completed, powerpoint started",
28/07/2025 12:21:39,9990019658,isha vartak,Adobe Photoshop,Trusha mam,02:00 To 03:00,"word completed, powerpoint started",
03/08/2025 13:07:00,8880026097,Samarth Gokhale,Social Media Marketing (DM-2) (M-2 & M-3),Siddharth Sir,01:00 To 02:00,job timing clash,
04/08/2025 14:15:57,7770048766,Priya Ganvir,Combo Course (Computer Basics & Advanced Excel with Power BI),Yash Sir,04:00 To 05:00,"word completed, powerpoint started",
09/09/2025 17:17:41,9990089860,Zeel Kelkar,Video Editing,vansh sir,04:00 To 05:00,shifted to another city,
23/09/2025 14:37:26,8882231745,Niyati Dhond,Computer Basics & Scratch Programming ,Siddharth sir,04:00 To 05:00,gone to out of station for one month,
26/09/2025 12:51:54,8880018606,Limaye Devansh,Social Media Marketing (DM-2),Siddharth Sir,11:00 To 12:00,"medical, will resume later",
11/10/2025 11:37:04,7770006238,Sanya Bhide,Combo Course (Computer Basics & Advanced Excel with Power BI) (m-1),Trusha Mam,07:00 To 08:00,job timing clash,
16/11/2025 13:19:07,77-70027337,Shaurya Rege,Adobe Photoshop,vansh sir,04:00 To 05:00,"medical, will resume later",
21/11/2025 16:43:04,9990046532,Keya Mahabal,Video Editing,Siddharth Sir,04:00 To 05:00,gone to out of station for one month,
07/12/2025 16:20:45,8880085013,Rudra Ahluwalia,Business Analytics,Subin sir,01:00 To 02:00,family function,
13/12/2025 9:46:31,6660078329,Talpade Keya,Basic Computer Accounting (module 2 & 3),Trusha,01:00 To 02:00,not picking calls,
28/12/2025 17:25:02,8880098337,Vedant Ranadive,Full Stack Development,Vansh Sir,02:00 To 03:00,,
19/01/2026 9:36:30,6660077908,Radhika Bapat,Full Stack Development (m-1),Mansi mam,05:00 To 06:00,family function,
27/01/2026 12:00:02,8882260114,Zeel Jamdar,Advance Excel,Vansh sir,12:00 To 01:00,family function,
10/02/2026 17:49:52,8882225261,Pooja Lele,Computer Accounting (6 months),Trusha Mam,07:00 To 08:00,job timing clash,
19/02/2026 13:04:59,9990076248,Manan Inamdar,UI & UX DEVELOPMENT,vansh sir,05:00 To 06:00,"medical, will resume later",
09/04/2026 12:36:22,6660098104,Jainam Jamdar,Advanced Excel,vansh sir,07:00 To 08:00,not picking calls,
15/04/2026 9:45:35,9991123712,Tanish Joglekar,12th computer science,Subin sir,04:00 To 05:00,job timing clash,
15/04/2026 11:18:29,888229839,Riddhi Phadke,advanced excel & power bi,subin sir,10:00 To 11:00,not picking calls,
04/05/2026 11:36:55,6660085812,Mahek Ranadive,Advanced Data Analytics,Siddharth Sir,11:00 To 12:00,exam going on,
04/06/2026 20:23:34,6660081904,URVI MAHABAL ,Tally Prime with GST,vansh sir,06:00 To 07:00,,
08/06/2026 10:48:39,8882221840,Vedant Chandorkar,BUSINESS ANALYTICS,vansh sir,06:00 To 07:00,gone to out of station for one month,
19/06/2026 17:28:49,8882256692,Vihaan Sahasrabuddhe,Canva,Mansi Mam,03:00 To 04:00,"word completed, powerpoint started",
21/06/2026 11:34:04,999115854,LAKSHYA GOKHALE,Professional Office & Generative AI Essentials,Subin Sir,12:00 To 01:00,,
30/06/2026 11:35:32,9990050279,Niyati Marathe,Advanced Excel & Power BI,Vansh sir,11:00 To 12:00,job timing clash,
11/07/2026 16:07:27,8882218327---7770012431,kavya inamdar,tally prime with gst,Siddharth sir,11:00 To 12:00,not picking calls,
25/07/2026 16:00:39,8882238616,Priya Ranadive,advanced excel,Siddharth Sir,07:00 To 08:00,will resume after diwali,
