Timestamp,Mobile No (Student),Student Name,Which Course,Faculty,Batch Timing,Status & reason,
,7770096943,Ananya Chandorkar,Data Analysis,Mansi Mam,12:00 To 01:00,misbehaviour with faculty,
,7770061689,Riddhi Inamdar,Digital Marketing & SEO,Vansh Sir,10:00 To 11:00,not to entertain,
,7770025696,Priya Chaphekar,Combo Course (Computer Basics & Advanced Excel with Power BI),SUBIN SIR,11:00 To 12:00,fees dispute,
,8882287976,Ananya Sahasrabuddhe,diploma in web development,Mansi Mam,06:00 To 07:00,"repeated absence, do not allot batch",
12/06/2024 19:07:33,6660077908,Radhika Bapat,Web Designing (M-1),Vansh sir,05:00 To 06:00,batch disturbance,
09/07/2024 13:12:27,+155501067,Darsh Chaphekar,advanced computer accounting,Siddharth Sir,03:00 To 04:00,not to entertain,
18/10/2024 13:12:41,8882278874,Yashvi Lele ,UI & UX development,Vansh Sir,04:00 To 05:00,fees dispute,
26/11/2024 19:05:24,7770034959,Naisha Kelkar,11th IP ,Vansh sir,04:00 To 05:00,"repeated absence, do not allot batch",
30/11/2024 18:13:23,8882272895,Charvi Kirloskar,Advanced Graphic Designing (6 mths),Mansi mam,06:00 To 07:00,fees dispute,
25/12/2024 18:02:06,08880084127,Anish Deolekar,Advanced Excel (M-1 & M-2),Vansh sir,06:00 To 07:00,"repeated absence, do not allot batch",
07/02/2025 9:23:32,888008491,Bhavya Deolekar,Core Java Programming,subin sir,03:00 To 04:00,fees dispute,
07/02/2025 18:44:54,888224470,Tanvi Karnik ,Core Python Programming,subin sir,07:00 To 08:00,misbehaviour with faculty,
20/02/2025 11:09:40,8882238211,Krish Gokhale ,Basic Computer Accounting module 2,Siddharth Sir,12:00 To 01:00,misbehaviour with faculty,
12/04/2025 15:46:24,"7770061170, 7770010709",Sachi Paranjape,10th std school course (m-1),Trusha mam,10:00 To 11:00,"repeated absence, do not allot batch",
16/04/2025 9:37:57,8882278874,Yashvi Lele,COMBO COURSE (COMPUTER BASICS & ADVANCED EXCEL WITH POWER BI),Mansi mam,02:00 To 03:00,misbehaviour with faculty,
16/05/2025 15:15:48,6660005778,Vihaan Wagle,Business Analytics,SUBIN SIR,06:00 To 07:00,batch disturbance,
10/12/2025 14:37:21,8880004714,Shaurya Wadekar,Advanced Graphic Designing (6 mths) ,Mansi Mam,04:00 To 05:00,misbehaviour with faculty,
31/12/2025 20:59:59,8880078664,DHRUV TEMBE,Video Editing,Yash sir,04:00 To 05:00,misbehaviour with faculty,
12/02/2026 10:53:41,9991158546,Gokhale Lakshya,11th IP,Trusha mam,03:00 To 04:00,misbehaviour with faculty,
19/02/2026 18:13:05,8880042374,Namra Sahasrabuddhe,Kids Course (module 2 & 3),vansh sir,12:00 To 01:00,"repeated absence, do not allot batch",
05/06/2026 18:52:20,+919991182813,Aarav Jamdar,Social Media Content & Ad Architect,Subin Sir,07:00 To 08:00,misbehaviour with faculty,
